Author1,Author2
authorID_9a049_b03f6_fc40b_fcf2f_13632,authorID_84a50_92e4a_5b6fe_968fd_523fb
authorID_9a049_b03f6_fc40b_fcf2f_13632,authorID_8b940_be7fb_78aaa_6b656_7dd7a
authorID_9a049_b03f6_fc40b_fcf2f_13632,authorID_2c7d5_490e6_05083_6f8f2_f0d49
authorID_9a049_b03f6_fc40b_fcf2f_13632,authorID_1be00_34108_2e25c_4e251_ca671
authorID_9a049_b03f6_fc40b_fcf2f_13632,authorID_d874e_4e4a5_df211_73b0f_83e31
authorID_9a049_b03f6_fc40b_fcf2f_13632,authorID_d48ff_4b2f6_8a10f_d7c86_f185a
authorID_9a049_b03f6_fc40b_fcf2f_13632,authorID_f10d9_1a759_6bf5a_67735_79ff1
authorID_9a049_b03f6_fc40b_fcf2f_13632,authorID_3635a_91e3d_a857f_7847f_68185
authorID_9a049_b03f6_fc40b_fcf2f_13632,authorID_89aa1_e5800_23722_db676_46e81
authorID_9a049_b03f6_fc40b_fcf2f_13632,authorID_6b86b_273ff_34fce_19d6b_804ef
authorID_9a049_b03f6_fc40b_fcf2f_13632,authorID_d4ee9_f58e5_86057_4ca98_e3b48
authorID_9a049_b03f6_fc40b_fcf2f_13632,authorID_4c15f_47afe_7f817_fd559_e12dd
authorID_9a049_b03f6_fc40b_fcf2f_13632,authorID_1253e_9373e_781b7_50026_6caa5
authorID_9a049_b03f6_fc40b_fcf2f_13632,authorID_c75cb_66ae2_8d8eb_c6ede_d002c
authorID_9a049_b03f6_fc40b_fcf2f_13632,authorID_f57e5_cb1f4_532c0_08183_057ec
authorID_9a049_b03f6_fc40b_fcf2f_13632,authorID_28117_45d7b_8d887_4f6e6_53d17
authorID_1be00_34108_2e25c_4e251_ca671,authorID_1c6c0_bb2c7_ecdc3_be8e1_34f79
authorID_1be00_34108_2e25c_4e251_ca671,authorID_835d5_e8314_340ab_852a2_f979a
authorID_1be00_34108_2e25c_4e251_ca671,authorID_27d71_9c754_aacd4_92a6d_c8a1b
authorID_1be00_34108_2e25c_4e251_ca671,authorID_a665a_45920_422f9_d417e_4867e
authorID_1be00_34108_2e25c_4e251_ca671,authorID_a0d17_7b496_7a6d9_9f4ff_117de
authorID_1be00_34108_2e25c_4e251_ca671,authorID_71812_7812c_05853_f0bec_61582
authorID_1be00_34108_2e25c_4e251_ca671,authorID_377ad_eb4cd_4096a_dc7ca_64b53
authorID_1be00_34108_2e25c_4e251_ca671,authorID_71a1c_003a2_b855d_85582_c8f6c
authorID_1be00_34108_2e25c_4e251_ca671,authorID_3949a_c1596_ec771_06a70_9a618
authorID_1be00_34108_2e25c_4e251_ca671,authorID_28117_45d7b_8d887_4f6e6_53d17
authorID_1be00_34108_2e25c_4e251_ca671,authorID_734d0_759cd_b4e0d_0a35e_4fd73
authorID_1be00_34108_2e25c_4e251_ca671,authorID_6f4b6_61212_5fb3a_0daec_d2799
authorID_1be00_34108_2e25c_4e251_ca671,authorID_3635a_91e3d_a857f_7847f_68185
authorID_1be00_34108_2e25c_4e251_ca671,authorID_3ada9_2f28b_4ceda_38562_ebf04
authorID_1be00_34108_2e25c_4e251_ca671,authorID_2747b_7c718_564ba_5f066_f0523
authorID_1be00_34108_2e25c_4e251_ca671,authorID_bb668_ca955_63216_088b9_8a625
authorID_1be00_34108_2e25c_4e251_ca671,authorID_49d18_0ecf5_61328_19571_bf39d
